AGE,DECIMALS,INDICATOR,COMP_BREAKDOWN_2,TIME_PERIOD,UNIT_TYPE,COMMENT_TS,URBANISATION,LATEST_DATA,DATABASE_ID,TIME_FORMAT,OBS_STATUS,COMP_BREAKDOWN_1,UNIT_MEASURE,REF_AREA,FREQ,AGG_METHOD,DATA_SOURCE,UNIT_MULT,COMMENT_OBS,OBS_CONF,OBS_VALUE,COMP_BREAKDOWN_3,SEX
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,BGR,A,,,0,,PU,1.96594,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,BGR,A,,,0,,PU,1.54961,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2019,,,_T,False,WB_MPM,602,A,_Z,PT,BGR,A,,,0,,PU,1.4389,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,False,WB_MPM,602,A,_Z,PT,BGR,A,,,0,,PU,0.842401,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,True,WB_MPM,602,A,_Z,PT,BGR,A,,,0,,PU,1.32798,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,10.1523,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,10.4995,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,10.7088,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,8.56811,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,7.36179,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,7.10493,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,5.62762,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,BLR,A,,,0,,PU,4.99254,_Z,_T
